imo,name,ship_type,dwt,dwt_size_class,efficiency_grade,flag_registry,technical_efficiency,co2_total_t,co2_per_distance_kg_nm,in_mrv
9884978,NORDIC QINNGUA,Bulk carrier,95709.0,Panamax (60-100k),D,Majuro,EEXI (3.24 gCO₂/t·nm),10977.0,309.8,True
9478030,STAR DIAMOND,Bulk carrier,93407.0,Panamax (60-100k),E,Nassau,EEXI (3.27 gCO₂/t·nm),1861.4,380.7,True
9587477,AM POINT LISAS,Bulk carrier,93238.0,Panamax (60-100k),E,Panama,EIV (4.36 gCO₂/t·nm),3868.1,345.1,True
9548237,CLIA,Bulk carrier,92968.0,Panamax (60-100k),E,Monrovia,EEXI (3.28 gCO₂/t·nm),1897.9,396.2,True
9476666,W-SKY,Bulk carrier,92929.0,Panamax (60-100k),E,Monrovia,EEXI (3.28 gCO₂/t·nm),5935.6,352.5,True
9332016,KOUTALIANOS,Bulk carrier,92710.0,Panamax (60-100k),E,Monrovia,EIV (4 gCO₂/t·nm),6245.0,405.8,True
9343845,KYZIKOS,Bulk carrier,92598.0,Panamax (60-100k),E,Monrovia,EIV (4.18 gCO₂/t·nm),2960.2,414.6,True
9343895,ARIS T,Bulk carrier,92524.0,Panamax (60-100k),E,Valletta,EIV (4 gCO₂/t·nm),2785.7,434.4,True
9919917,AFFINITY DIVA,Bulk carrier,88993.0,Panamax (60-100k),A,Monrovia,EEDI (2.98 gCO₂/t·nm),807.8,216.8,True
9423293,YANNIS GORGIAS,Bulk carrier,87375.0,Panamax (60-100k),E,Valletta,EEXI (3.38 gCO₂/t·nm),3901.7,587.1,True
9425136,IOLCOS LEGACY,Bulk carrier,87375.0,Panamax (60-100k),E,Valletta,EIV (3.86 gCO₂/t·nm),3228.8,358.6,True
9317834,XENIA,Bulk carrier,87144.0,Panamax (60-100k),E,Limassol,EIV (5.11 gCO₂/t·nm),4876.2,331.8,True
9936252,EMERALD DINGHAI,Bulk carrier,85527.0,Panamax (60-100k),D,Monrovia,EEDI (3.14 gCO₂/t·nm),3721.4,300.8,True
9875135,TROODOS OAK,Bulk carrier,85439.0,Panamax (60-100k),E,Limassol,EEXI (3.37 gCO₂/t·nm),2368.8,433.3,True
9911587,CL GENEVA,Bulk carrier,85229.0,Panamax (60-100k),D,Hong Kong,EEXI (3.25 gCO₂/t·nm),12791.9,290.8,True
9949297,XING YANG HAI,Bulk carrier,85016.0,Panamax (60-100k),C,Singapore,EEXI (3.23 gCO₂/t·nm),3405.7,275.8,True
9950715,GOLDEN SOUL,Bulk carrier,84986.0,Panamax (60-100k),C,Majuro,EEXI (3.18 gCO₂/t·nm),2294.5,277.1,True
9712486,S SAMBA,Bulk carrier,84867.0,Panamax (60-100k),D,Madeira,EEXI (3.35 gCO₂/t·nm),8541.2,286.0,True
9712498,S RUMBA,Bulk carrier,84867.0,Panamax (60-100k),E,Majuro,EEXI (3.35 gCO₂/t·nm),3166.9,343.4,True
9748033,CRIMSON KINGDOM,Bulk carrier,84860.0,Panamax (60-100k),D,Singapore,EEDI (3.4 gCO₂/t·nm),8358.0,288.0,True
9757785,NAVIOS ALEGRIA,Bulk carrier,84852.0,Panamax (60-100k),C,Panama City,EEDI (3.36 gCO₂/t·nm),806.7,265.9,True
9698238,TROODOS SUN,Bulk carrier,84849.0,Panamax (60-100k),D,Limassol,EEDI (3.38 gCO₂/t·nm),7932.6,309.6,True
9796195,IONIC KALLIRHOE,Bulk carrier,84769.0,Panamax (60-100k),C,Majuro,EEDI (3.33 gCO₂/t·nm),4767.1,274.8,True
9525613,MAHA YAYA,Bulk carrier,84108.0,Panamax (60-100k),E,Mumbai,EIV (3.79 gCO₂/t·nm),4613.3,386.2,True
9591143,AKAKI,Bulk carrier,84075.0,Panamax (60-100k),D,Limassol,EIV (3.86 gCO₂/t·nm),2702.6,306.9,True
9503782,IOLCOS GENESIS,Bulk carrier,84062.0,Panamax (60-100k),E,Majuro,EIV (3.94 gCO₂/t·nm),2058.5,334.3,True
9591179,SENECA,Bulk carrier,83975.0,Panamax (60-100k),E,Limassol,EEXI (3.44 gCO₂/t·nm),8017.0,333.2,True
9381524,PEDHOULAS COMMANDER,Bulk carrier,83684.0,Panamax (60-100k),C,Limassol,EIV (5.55 gCO₂/t·nm),4547.3,256.7,True
9652507,FJELD SAGA,Bulk carrier,82908.0,Panamax (60-100k),E,Majuro,EIV (4.16 gCO₂/t·nm),1743.0,323.1,True
9301055,NAVIOS HARMONY,Bulk carrier,82790.0,Panamax (60-100k),E,Panama,EEXI (3.47 gCO₂/t·nm),7016.2,315.2,True
9625827,PAN TOPAZ,Bulk carrier,82787.0,Panamax (60-100k),D,Panama,EEXI (3.47 gCO₂/t·nm),3568.8,296.5,True
9959400,YM THERESA,Bulk carrier,82778.0,Panamax (60-100k),B,Majuro,EEDI (2.89 gCO₂/t·nm),5825.0,245.8,True
9949651,GRAND OCEAN,Bulk carrier,82689.0,Panamax (60-100k),C,Majuro,EEDI (2.91 gCO₂/t·nm),1445.9,274.3,True
9398668,ELLINA,Bulk carrier,82612.0,Panamax (60-100k),D,Valletta,EEXI (3.46 gCO₂/t·nm),3857.7,305.1,True
9937218,YM RESPECT,Bulk carrier,82599.0,Panamax (60-100k),B,Majuro,EEDI (3.15 gCO₂/t·nm),2861.5,222.0,True
9401489,STAR MARIA,Bulk carrier,82598.0,Panamax (60-100k),C,Majuro,EEXI (3.47 gCO₂/t·nm),1400.6,277.7,True
9922287,PRESTIGE DIVA,Bulk carrier,82597.0,Panamax (60-100k),B,Panama,EEDI (3.19 gCO₂/t·nm),4708.4,227.8,True
9909223,ARISTO OCEAN,Bulk carrier,82577.0,Panamax (60-100k),B,Majuro,EEXI (3.16 gCO₂/t·nm),970.1,230.4,True
9909194,ACRUX AMELIA,Bulk carrier,82577.0,Panamax (60-100k),D,Monrovia,EEXI (3.23 gCO₂/t·nm),3253.9,286.2,True
9442756,LONDON 2012,Bulk carrier,82562.0,Panamax (60-100k),D,Monrovia,EEXI (3.47 gCO₂/t·nm),1818.9,306.7,True
9900095,URSULA MANX,Bulk carrier,82561.0,Panamax (60-100k),C,Douglas,EEXI (3.1 gCO₂/t·nm),2392.9,260.5,True
9897901,THUNDER ISLAND,Bulk carrier,82558.0,Panamax (60-100k),C,Panama,EEDI (3.13 gCO₂/t·nm),13024.4,251.1,True
9902275,VITA UNITY,Bulk carrier,82545.0,Panamax (60-100k),B,Monrovia,EEDI (3.12 gCO₂/t·nm),5695.0,227.8,True
9892676,SAKIZAYA UNICORN,Bulk carrier,82527.0,Panamax (60-100k),A,Monrovia,EEDI (3.28 gCO₂/t·nm),2900.2,217.0,True
9913030,SAKIZAYA ZEST,Bulk carrier,82501.0,Panamax (60-100k),B,Panama,EEDI (3.18 gCO₂/t·nm),7382.4,248.0,True
9861328,SAKIZAYA TREASURE,Bulk carrier,82500.0,Panamax (60-100k),A,Monrovia,EEXI (3.27 gCO₂/t·nm),3083.4,214.3,True
9326275,ZOI XL,Bulk carrier,82489.0,Panamax (60-100k),E,Majuro,EEXI (3.48 gCO₂/t·nm),4291.6,325.1,True
9392444,BRAVEHEART I,Bulk carrier,82471.0,Panamax (60-100k),E,Monrovia,EEXI (3.46 gCO₂/t·nm),3739.4,341.4,True
9313307,GLORIA,Bulk carrier,82464.0,Panamax (60-100k),E,Monrovia,EIV (4.18 gCO₂/t·nm),4428.0,334.8,True
9968360,DUCHESS EMERALD,Bulk carrier,82464.0,Panamax (60-100k),B,Singapore,EEDI (3.14 gCO₂/t·nm),1579.5,220.7,True
9836787,BASIC VICTORY,Bulk carrier,82457.0,Panamax (60-100k),C,Majuro,EEDI (3.22 gCO₂/t·nm),4951.4,253.3,True
9947249,JEN LR,Bulk carrier,82411.0,Panamax (60-100k),C,Panama,EEDI (3.16 gCO₂/t·nm),4560.5,250.7,True
9929338,VOLUTINA,Bulk carrier,82408.0,Panamax (60-100k),C,Panama,EEDI (3.25 gCO₂/t·nm),10556.9,275.7,True
9942615,PROTECTOR,Bulk carrier,82357.0,Panamax (60-100k),D,Monrovia,EEDI (3.12 gCO₂/t·nm),1627.9,289.7,True
9336880,ELENA,Bulk carrier,82356.0,Panamax (60-100k),D,Nassau,EEXI (3.48 gCO₂/t·nm),6005.1,290.4,True
9552991,NORD KARAS,Bulk carrier,82354.0,Panamax (60-100k),B,Majuro,EEXI (3.39 gCO₂/t·nm),5525.8,228.0,True
9336907,GLORY NAVIGATOR,Bulk carrier,82331.0,Panamax (60-100k),E,Panama,EIV (4 gCO₂/t·nm),6084.8,330.7,True
9938779,CL XIANGXI,Bulk carrier,82328.0,Panamax (60-100k),B,Majuro,EEXI (3.16 gCO₂/t·nm),480.0,245.4,True
9911410,AOM MARIA LAURA,Bulk carrier,82312.0,Panamax (60-100k),D,Panama,EEDI (3.2 gCO₂/t·nm),5300.4,296.0,True
9906465,SERENDIPITY,Bulk carrier,82298.0,Panamax (60-100k),C,Madeira,EEDI (3.2 gCO₂/t·nm),4254.8,261.3,True
